NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
DYNC1I1	1	ENSG00000158560	
GAD1	1	ENSG00000128683	
KLHL1	1	ENSG00000150361	
CFAP157	1	ENSG00000160401	
CYP8B1	1	ENSG00000180432	
RP1L1	1	ENSG00000183638	
PDCL2	1	ENSG00000163440	
RIT2	1	ENSG00000152214	
SEMG2	1	ENSG00000124157	
KCNS2	1	ENSG00000156486	
SEMG1	1	ENSG00000124233	
CFAP161	1	ENSG00000156206	
KLB	1	ENSG00000134962	
PRDM7	1	ENSG00000126856	
PRDM6	1	ENSG00000061455	
MILIP	1	ENSG00000265688	
CELSR1	1	ENSG00000075275	
CELSR3	1	ENSG00000008300	
LINC00939	1	ENSG00000249267	
PLAU	1	ENSG00000122861	
LINC00930	1	ENSG00000258647	
DTNB-AS1	1	ENSG00000224220	
ENPP6	1	ENSG00000164303	
TMOD1	1	ENSG00000136842	
SPINK2	1	ENSG00000128040	
MSX2	1	ENSG00000120149	
SPINK5	1	ENSG00000133710	
PHGR1	1	ENSG00000233041	
FAM131B-AS1	1	ENSG00000272619	
CARTPT	1	ENSG00000164326	
ENSG00000228496	1	ENSG00000228496	
PCP2	1	ENSG00000174788	
ADAM12	1	ENSG00000148848	
GNG12-AS1	1	ENSG00000232284	
LINC00920	1	ENSG00000246898	
LINC00922	1	ENSG00000261742	
CARD14	1	ENSG00000141527	
SLC41A2	1	ENSG00000136052	
HTRA4	1	ENSG00000169495	
PLD5	1	ENSG00000180287	
GLYAT	1	ENSG00000149124	
ENSG00000286346	1	ENSG00000286346	
GRK1	1	ENSG00000185974	
CNN1	1	ENSG00000130176	
KCNV2	1	ENSG00000168263	
PKD2L2-DT	1	ENSG00000250159	
LINC00958	1	ENSG00000251381	
FGF20	1	ENSG00000078579	
IL36RN	1	ENSG00000136695	
LINC00955	1	ENSG00000216560	
ENSG00000233850	1	ENSG00000233850	
ECT2	1	ENSG00000114346	
FGF21	1	ENSG00000105550	
BHLHA9	1	ENSG00000205899	
BRINP3-DT	1	ENSG00000237457	
CNTN6	1	ENSG00000134115	
ENSG00000286352	1	ENSG00000286352	
ANKRD40CL	1	ENSG00000167117	
TLX1NB	1	ENSG00000236311	
FGF17	1	ENSG00000158815	
FGF16	1	ENSG00000196468	
FGF19	1	ENSG00000162344	
FGF18	1	ENSG00000156427	
CNTN1	1	ENSG00000018236	
RSPH14	1	ENSG00000100218	
LINC00941	1	ENSG00000285517	
CNTN2	1	ENSG00000184144	
CNTN3	1	ENSG00000113805	
CNTN4	1	ENSG00000144619	
FGF10	1	ENSG00000070193	
LINC00940	1	ENSG00000235049	
PODXL2	1	ENSG00000114631	
TTC22	1	ENSG00000006555	
TAT	1	ENSG00000198650	
ZNF670-ZNF695	1	ENSG00000135747	
TTC29	1	ENSG00000137473	
LTB4R	1	ENSG00000213903	
GRM2	1	ENSG00000164082	
CA1	1	ENSG00000133742	
ZIC2	1	ENSG00000043355	
CA2	1	ENSG00000104267	
CA4	1	ENSG00000167434	
GRM8	1	ENSG00000179603	
CA7	1	ENSG00000168748	
SPATA31C2	1	ENSG00000177910	
MYBL2	1	ENSG00000101057	
CA9	1	ENSG00000107159	
SPATA31C1	1	ENSG00000230246	
SFTA1P	1	ENSG00000225383	
IFT56	1	ENSG00000105948	
ENSG00000286330	1	ENSG00000286330	
KIF26B-AS1	1	ENSG00000232192	
OR1F1	1	ENSG00000168124	
ETV4	1	ENSG00000175832	
SHROOM4	1	ENSG00000158352	
TMEM220-AS1	1	ENSG00000263400	
ACOX1	1	ENSG00000161533	
ELF5	1	ENSG00000135374	
MRPS30-DT	1	ENSG00000251141	
PSD2-AS1	1	ENSG00000249131	
DAPL1	1	ENSG00000163331	
CAND2	1	ENSG00000144712	
GLIPR1-AS1	1	ENSG00000257497	
NWD2	1	ENSG00000174145	
SV2B	1	ENSG00000185518	
CNR2	1	ENSG00000188822	
CNR1	1	ENSG00000118432	
FAM241B	1	ENSG00000171224	
TBX20	1	ENSG00000164532	
CLVS2	1	ENSG00000146352	
SLIT3	1	ENSG00000184347	
SLIT2	1	ENSG00000145147	
SPATA31E1	1	ENSG00000177992	
HSD3B2	1	ENSG00000203859	
ZIC5	1	ENSG00000139800	
HS3ST6	1	ENSG00000162040	
CIMIP2C	1	ENSG00000173557	
HS3ST4	1	ENSG00000182601	
SPATA3-AS1	1	ENSG00000238062	
CFC1	1	ENSG00000136698	
TTC16	1	ENSG00000167094	
TBX15	1	ENSG00000092607	
TEF	1	ENSG00000167074	
COL7A1	1	ENSG00000114270	
TBX10	1	ENSG00000167800	
FAM240A	1	ENSG00000283473	
PTX3	1	ENSG00000163661	
GPD1L	1	ENSG00000152642	
MNX1-AS1	1	ENSG00000243479	
PRSS1	1	ENSG00000204983	
FRMPD4	1	ENSG00000169933	
CLEC10A	1	ENSG00000132514	
LOC101928416	1	ENSG00000255916	
MRGPRF	1	ENSG00000172935	
NPIPB13	1	ENSG00000198064	
MRGPRD	1	ENSG00000172938	
MRGPRE	1	ENSG00000184350	
CWH43	1	ENSG00000109182	
GRPR	1	ENSG00000126010	
SLC4A4	1	ENSG00000080493	
MTBP	1	ENSG00000172167	
EVA1A	1	ENSG00000115363	
GJA3	1	ENSG00000121743	
SCN11A	1	ENSG00000168356	
WDR90	1	ENSG00000161996	
ENSG00000228648	1	ENSG00000228648	
PRSS2	1	ENSG00000275896	
LINC00896	1	ENSG00000236499	
PRKCG	1	ENSG00000126583	
LINC00891	1	ENSG00000281852	
DNAAF3	1	ENSG00000167646	
PRKCB	1	ENSG00000166501	
WDR72	1	ENSG00000166415	
CEL	1	ENSG00000170835	
LHX1-DT	1	ENSG00000277268	
DNAAF9	1	ENSG00000088854	
DAAM2	1	ENSG00000146122	
ARMC3	1	ENSG00000165309	
HECW1	1	ENSG00000002746	
LINC00887	1	ENSG00000214145	
DLX6-AS1	1	ENSG00000231764	
CTB-1I21.1	1	ENSG00000250284	
CFB	1	ENSG00000243649	
LINC00885	1	ENSG00000224652	
CFD	1	ENSG00000197766	
TPH1	1	ENSG00000129167	
WDR64	1	ENSG00000162843	
PRDM13	1	ENSG00000112238	
WDR62	1	ENSG00000075702	
PRDM12	1	ENSG00000130711	
ENSG00000286502	1	ENSG00000286502	
NUGGC	1	ENSG00000189233	
PLAC8	1	ENSG00000145287	
XKRX	1	ENSG00000182489	
PLAC9	1	ENSG00000189129	
GJC3	1	ENSG00000176402	
FAM124A	1	ENSG00000150510	
ZSCAN10	1	ENSG00000130182	
PLAC1	1	ENSG00000170965	
LINC02613	1	ENSG00000231367	
LINC02616	1	ENSG00000261761	
CGA	1	ENSG00000135346	
PLAC4	1	ENSG00000280109	
NFE2	1	ENSG00000123405	
PLK5	1	ENSG00000185988	
HOMER1	1	ENSG00000152413	
ARPP21	1	ENSG00000172995	
PLK1	1	ENSG00000166851	
ENSG00000253608	1	ENSG00000253608	
MEX3A	1	ENSG00000254726	
GJB4	1	ENSG00000189433	
GJB3	1	ENSG00000188910	
GJB6	1	ENSG00000121742	
GJB5	1	ENSG00000189280	
GTF2IRD1	1	ENSG00000006704	
LINC02604	1	ENSG00000273142	
XKR4	1	ENSG00000206579	
GAPT	1	ENSG00000175857	
STON1	1	ENSG00000243244	
ASGR1	1	ENSG00000141505	
ADAMTSL1	1	ENSG00000178031	
ETS2-AS1	1	ENSG00000205622	
LINC00858	1	ENSG00000229404	
ADAMTSL3	1	ENSG00000156218	
PHF24	1	ENSG00000122733	
GAST	1	ENSG00000184502	
RAB5IF	1	ENSG00000101084	
ZIK1	1	ENSG00000171649	
AHSG	1	ENSG00000145192	
ECRG4	1	ENSG00000119147	
ADGRB3-DT	1	ENSG00000230910	
ANGPTL7	1	ENSG00000171819	
KIFC2	1	ENSG00000167702	
PCOTH	1	ENSG00000205861	
GAS2	1	ENSG00000148935	
PLIN4	1	ENSG00000167676	
LINC00842	1	ENSG00000285294	
ANGPTL5	1	ENSG00000187151	
PLIN1	1	ENSG00000166819	
ENSG00000270159	1	ENSG00000270159	
MOCS1	1	ENSG00000124615	
ANGPTL1	1	ENSG00000116194	
DCAF12L2	1	ENSG00000198354	
DCAF12L1	1	ENSG00000198889	
ADCY2	1	ENSG00000078295	
PAPSS2	1	ENSG00000198682	
ADCY5	1	ENSG00000173175	
MIR4307HG	1	ENSG00000257612	
RASSF10	1	ENSG00000189431	
SLC17A9	1	ENSG00000101194	
SLC17A7	1	ENSG00000104888	
GPAT3	1	ENSG00000138678	
LINC00877	1	ENSG00000241163	
SLC17A8	1	ENSG00000179520	
SLC17A1	1	ENSG00000124568	
SLC17A4	1	ENSG00000146039	
BCHE	1	ENSG00000114200	
HIPK4	1	ENSG00000160396	
DIO2-AS1	1	ENSG00000258766	
WDR17	1	ENSG00000150627	
CDKN2B	1	ENSG00000147883	
CKM	1	ENSG00000104879	
CDKN2A	1	ENSG00000147889	
IGLL5	1	ENSG00000254709	
IGLL1	1	ENSG00000128322	
PLP1	1	ENSG00000123560	
PTENP1-AS	1	ENSG00000281128	
LINC00862	1	ENSG00000203721	
RERGL	1	ENSG00000111404	
LINC01352	1	ENSG00000238078	
LINC02685	1	ENSG00000254654	
MROH2B	1	ENSG00000171495	
LINC01354	1	ENSG00000231768	
ENSG00000246465	1	ENSG00000246465	
CLU	1	ENSG00000120885	
FGF3	1	ENSG00000186895	
IPO4	1	ENSG00000196497	
RIMS4	1	ENSG00000101098	
FGF8	1	ENSG00000107831	
PODNL1	1	ENSG00000132000	
CFL2	1	ENSG00000165410	
LINC01348	1	ENSG00000280587	
LARGE2	1	ENSG00000165905	
LINC01345	1	ENSG00000226374	
LINC02675	1	ENSG00000264404	
LINC01346	1	ENSG00000233304	
PLS1	1	ENSG00000120756	
UICLM	1	ENSG00000233392	
LINC02672	1	ENSG00000227121	
COL27A1	1	ENSG00000196739	
SKIDA1	1	ENSG00000180592	
TPM2	1	ENSG00000198467	
USP2	1	ENSG00000036672	
TPM1	1	ENSG00000140416	
GTF3A	1	ENSG00000122034	
DIO2	1	ENSG00000211448	
LEMD1	1	ENSG00000186007	
EDAR	1	ENSG00000135960	
H4C13	1	ENSG00000275126	
LINC01338	1	ENSG00000281327	
LINC01339	1	ENSG00000248555	
ADTRP	1	ENSG00000111863	
PPEF1	1	ENSG00000086717	
TOX	1	ENSG00000198846	
RTN4R	1	ENSG00000040608	
FKBP2	1	ENSG00000173486	
PARM1	1	ENSG00000169116	
KCNQ1-AS1	1	ENSG00000229414	
TPO	1	ENSG00000115705	
E2F5-DT	1	ENSG00000260493	
ORC6	1	ENSG00000091651	
PRECSIT	1	ENSG00000255874	
BTLA	1	ENSG00000186265	
CD300LD	1	ENSG00000204345	
DRD2	1	ENSG00000149295	
CD300LG	1	ENSG00000161649	
DRD5	1	ENSG00000169676	
MIR122HG	1	ENSG00000267391	
OSBPL3	1	ENSG00000070882	
SLC4A10	1	ENSG00000144290	
ENSG00000283403	1	ENSG00000283403	
SLC4A11	1	ENSG00000088836	
FANCB	1	ENSG00000181544	
FANCG	1	ENSG00000221829	
LHX3	1	ENSG00000107187	
LHX1	1	ENSG00000273706	
BCL2	1	ENSG00000171791	
LHX5	1	ENSG00000089116	
LINC01356	1	ENSG00000215866	
PGPEP1L	1	ENSG00000183571	
MIR31HG	1	ENSG00000171889	
CPM	1	ENSG00000135678	
ENSG00000284700	1	ENSG00000284700	
SYNE4	1	ENSG00000181392	
CPZ	1	ENSG00000109625	
SYNE3	1	ENSG00000176438	
KBTBD13	1	ENSG00000234438	
ERRFI1-DT	1	ENSG00000238290	
PHACTR3	1	ENSG00000087495	
PRKG2	1	ENSG00000138669	
PROX1-AS1	1	ENSG00000230461	
LINC02635	1	ENSG00000283000	
KRTAP5-1	1	ENSG00000205869	
LBP	1	ENSG00000129988	
OR8D1	1	ENSG00000196341	
LINC01301	1	ENSG00000251396	
CSTL1	1	ENSG00000125823	
LINC01303	1	ENSG00000250548	
CR2	1	ENSG00000117322	
CR1	1	ENSG00000203710	
KRTAP5-4	1	ENSG00000241598	
APOA2	1	ENSG00000158874	
PGM5-AS1	1	ENSG00000224958	
APOA5	1	ENSG00000110243	
NPEPL1	1	ENSG00000215440	
TST	1	ENSG00000128311	
MEP1B	1	ENSG00000141434	
ACTBL2	1	ENSG00000169067	
SAPCD2	1	ENSG00000186193	
MEP1A	1	ENSG00000112818	
SAPCD1	1	ENSG00000228727	
ENSG00000259737	1	ENSG00000259737	
XCL2	1	ENSG00000143185	
LANCL3	1	ENSG00000147036	
PLUT	1	ENSG00000247381	
ZNF750	1	ENSG00000141579	
LINC02660	1	ENSG00000226005	
LINC01331	1	ENSG00000248673	
SMPX	1	ENSG00000091482	
FGL2	1	ENSG00000127951	
COCH	1	ENSG00000100473	
GATA2-AS1	1	ENSG00000244300	
STOX2	1	ENSG00000173320	
CLDN10-AS1	1	ENSG00000223392	
DNAJB5	1	ENSG00000137094	
XIRP1	1	ENSG00000168334	
ALOXE3	1	ENSG00000179148	
C1orf105	1	ENSG00000180999	
TUB	1	ENSG00000166402	
LINC01320	1	ENSG00000228262	
LINC02652	1	ENSG00000237128	
NLGN4X	1	ENSG00000146938	
MIR378D2HG	1	ENSG00000264448	
SMOX	1	ENSG00000088826	
MACC1	1	ENSG00000183742	
APOBR	1	ENSG00000184730	
WDR97	1	ENSG00000179698	
MFAP5	1	ENSG00000197614	
MFAP4	1	ENSG00000166482	
ASXL3	1	ENSG00000141431	
LEP	1	ENSG00000174697	
MAB21L1	1	ENSG00000180660	
MFAP2	1	ENSG00000117122	
APOC1	1	ENSG00000130208	
LIFR-AS1	1	ENSG00000244968	
MAB21L2	1	ENSG00000181541	
LINC01315	1	ENSG00000229891	
LINC01311	1	ENSG00000260924	
C1orf115	1	ENSG00000162817	
IL1RN	1	ENSG00000136689	
IFITM1	1	ENSG00000185885	
HDAC10	1	ENSG00000100429	
AQP8	1	ENSG00000103375	
AQP9	1	ENSG00000103569	
AQP6	1	ENSG00000086159	
AQP7	1	ENSG00000165269	
AQP4	1	ENSG00000171885	
AQP5	1	ENSG00000161798	
AQP2	1	ENSG00000167580	
GBA3	1	ENSG00000249948	
PDCD2L	1	ENSG00000126249	
HS6ST2	1	ENSG00000171004	
HS6ST3	1	ENSG00000185352	
FHAD1-AS1	1	ENSG00000233485	
NIPAL1	1	ENSG00000163293	
BFSP2-AS1	1	ENSG00000249993	
PDK4	1	ENSG00000004799	
HMCN2	1	ENSG00000148357	
DUSP13B	1	ENSG00000079393	
